Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,School Enrollment In Primary (% net),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/25/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burkina Faso,,,,,,,,,,,,10.05459976,10.48779011,,,,,12.55795002,13.02682018,13.51889992,14.30844975,15.32437992,16.81410027,18.0800209,19.42905045,21.48461914,23.48546028,25.13818932,25.62196922,25.91472054,,27.18227005,27.70351982,28.6870594,29.91303062,31.53515053,,,34.98033905,35.48973083,36.33372116,37.2634201,36.72142029,38.65198135,41.14891815,45.74760056,48.74732971,54.03414154,59.9701004,62.7928009,59.91302109,64.89105988,65.68292999,66.59076691,67.79846191,69.38976288,75.20863342,
Bangladesh,,,,,,,,,,,50.84693909,,,70.36862183,,,76.24365234,71.34211731,70.6111908,,,67.54412842,,64.37039185,62.97230911,61.14757919,60.14186096,59.1470108,69.42752838,69.39029694,72.32421112,,,,,,,,,,,,,,,91.71000671,92.37229156,,89.52761841,90.26229095,90.50862122,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.94391632,95.0115509,95.14476013,95.6013031,95.27588654,95.54122925,93.96385193,94.29544067,95.4408493,94.13449097,95.11614227,97.7858429,98.04966736,97.7516098,97.96736908,97.98918915,96.30024719,94.93746185,94.41504669,93.16265106,91.20162964,
Bahrain,,,,,,,,,,,,76.33968353,79.20478821,80.26908112,81.86210632,85.28601074,82.1248703,82.11387634,80.05570984,80.69142151,82.39830017,81.99603271,80.6088028,83.25855255,86.61060333,91.05123138,96.14373016,95.51584625,98.27365875,99.06140137,,99.41275787,97.00847626,98.02281952,97.93228149,99.10958099,99.85800171,99.6033783,96.96936798,96.87362671,95.77133179,93.01416779,93.09851837,92.38448334,91.59966278,89.10804749,90.50940704,,,,,90.22637177,91.18398285,92.22821808,94.25655365,96.42489624,96.26461792,
"Bahamas, The",,,,,,,,,,,,100,99.91925049,96.3718338,99.38990021,100,98.85897064,,,,97.21917725,100,,,95.92394257,,,,,,,,88.53601074,88.87670135,92.61087799,,,,,90.76177216,,,,,93.76186371,98.12016296,96.57440186,98.25937653,98.24227905,95.88002777,97.5136795,,,,,,88.19669342,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.58099365,,,,,,95.59130096,92.53762817,93.07195282,91.5401001,89.61026001,89.71196747,89.59104156,,91.5151062,91.04868317,90.7010498,93.9803009,92.91007996,93.10244751,94.34542084,96.14981842,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.72316742,94.81446838,91.96333313,,92.12664795,93.33641052,93.00856781,93.66607666,93.42578888,93.83278656,94.91259766,95.39761353,95.15522003,96.67864227,95.80625153,96.29559326,96.14115906,96.04665375,
Bermuda,,,,,,,,,,,,,,,,,,,82.71958923,80.80299377,,,,,91.64930725,93.97525787,,,,,,,,,,,,,,,,,,,,97.11044312,,,,,,85.3482132,83.45787048,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.13816833,94.19190216,94.82492065,94.92250061,95.21942902,95.62268829,95.38445282,95.50144958,95.57190704,95.35559845,94.14102173,94.2776413,92.01213837,89.61360931,88.08615112,87.72815704,87.60481262,88.48278809,89.83966064,
