Data Source,World Development Indicators,,,,,,,,,,,
Indicator,School Enrollment In Secondary (% net),,,,,,,,,,,
Last Updated Date,6/28/18,,,,,,,,,,,
Number of Countries,8,,,,,,,,,,,
Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,27.37545967,,,,,,47.50445175,47.31282043,47.37321091,,49.5558815
Canada,,,,,,,92.30924988,91.76743317,91.35083771,92.85788727,99.65135193,
China,,,,,,,,,,,,
"Egypt, Arab Rep.",,,,,,,,,79.09207916,,81.49492645,
India,,,,,,,,61.76811981,,,,
Nepal,,44.76279068,48.11587143,,50.48534012,54.74349976,57.69469833,58.83581161,59.69046021,60.39987946,54.37401962,55.28712082
Syrian Arab Republic,63.82587814,65.49256897,66.17653656,66.30335236,66.94463348,68.81491852,70.62161255,45.5245285,,,,
United States,88.28988647,88.39064789,88.55860138,87.94101715,86.69602203,87.63204193,87.32827759,88.12046814,88.90480042,90.83441925,,
