Data Source,World Development Indicators,,,,,,,,,,,
Indicator,GDP per capita (current US$),,,,,,,,,,,
Last Updated Date,8/28/18,,,,,,,,,,,
Number of Countries,8,,,,,,,,,,,
Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13698.29344,12654.355,14401.97485
Canada,40386.69948,44544.5268,46596.33599,40773.45436,47447.47602,52082.21076,52496.69487,52418.31506,50633.20882,43525.37019,42348.94546,45032.11991
China,2099.229435,2695.365917,3471.248054,3838.433972,4560.512586,5633.795717,6337.883323,7077.770765,7683.502613,8069.213024,8117.267465,8826.994096
"Egypt, Arab Rep.",1375.196316,1640.476068,2011.246154,2291.667062,2602.479549,2747.480327,3181.441708,3213.389158,3327.754247,3547.713012,3479.281246,2412.727082
India,792.0259698,1018.166373,991.4846304,1090.317765,1345.770153,1461.671957,1446.98541,1452.195373,1576.004018,1606.038285,1717.473878,1939.612984
Nepal,348.6314534,393.8843518,473.8444409,480.7200909,592.1835216,692.1166842,681.7925868,688.6172788,706.2386977,747.1604624,729.1222515,835.0798466
Syrian Arab Republic,1762.246107,2058.035209,,,,,,,,,,
United States,46437.06712,48061.53766,48401.42734,47001.55535,48375.40695,49793.71352,51450.95911,52782.08651,54696.72617,56443.81724,57588.53807,59531.66196
