Data Source,World Development Indicators
Indicator,"Primary completion rate female (% of relevant age group)"
Last Updated Date,2020-07-01
Number of Countries,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burkina Faso,,,,,,,,,,,,4.74338,4.60242,4.92183,5.01669,5.54791,5.44739,6.3546,6.35499,6.86347,6.7223,7.2905,7.52299,8.20574,9.47733,10.10116,,11.58627,12.41935,12.17051,14.2316,15.12521,21.70019,19.46671,20.4941,15.28254,18.03737,,,19.20854,20.87019,21.61344,22.83926,24.79712,26.16309,27.46569,28.87025,30.68523,34.31217,40.44662,44.11442,,56.03268,62.51212,62.71222,63.5569,64.0678,66.35379,68.46311,,
Bangladesh,,,,,,,,,,,,,,,,,29.57921,,,,,22.12022,,,,,,,,,,,,,,,,,,,,,,,,68.86967,,,61.98921,68.49995,71.76452,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,100.65331,102.16692,102.83684,102.117,99.11635,91.26589,87.26235,85.88748,88.31965,87.7535,90.39154,94.24999,93.3382,94.84747,95.69368,100.59505,95.85657,96.64619,98.15389,99.04257,99.49169,100.88704,94.078,101.92262,113.76898,110.0031,101.26888,98.25095,97.65895,95.77265,91.75953,89.12433,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,81.91489,84.14322,88.82142,89.36851,89.32014,93.72105,99.87428,107.42369,,104.95868,100.92093,98.83268,96.45346,96.73279,94.08552,,95.6953,99.20015,99.21173,98.85118,100.9498,100.24691,105.35198,104.73882,,,,,,91.95087,93.60654,92.93046,96.31267,100.23442,103.0401,100.38453,99.27618,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.24633,,,,,,102.0649,93.4846,94.13452,92.52366,91.06863,82.67913,91.42946,87.85538,79.01426,80.07472,87.02433,77.32087,,74.85179,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.34129,97.07528,94.13198,94.42918,93.99609,,98.27453,102.19348,106.35696,132.15808,103.27584,100.9031,96.38335,95.87582,95.43004,98.89354,,,107.4222,103.84818,100.09701,98.75614,96.5204,97.59322,101.45637,104.64495,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.56474,,,89.43812,95.0565,,,98.05758,97.40304,102.03883,,99.14868,97.62893,97.83487,95.95733,101.39726,95.51557,101.21597,98.27541,104.61379,109.00231,101.58042,100.73848,103.56593,105.70461,102.4268,104.11765,,
Bermuda,,,,,,,,,,,,,,,,72.80405,,,,,,,,,,,,,,,,,,,,,,,,,,92.52336,100.94118,97.87234,,,,,,,,88.29787,84.55285,97.51381,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.55014,97.1991,97.91981,94.89639,90.85175,88.31674,89.59416,91.03054,94.22059,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.57028,96.38736,105.92925,103.89027,106.9965,95.13297,92.49112,90.64116,92.28346,95.63598,97.63441,98.16712,99.03485,,,,,,,89.92072,,
Brunei Darussalam,,,,,,,,,,,,,104.75372,104.09066,111.66667,93.79968,106.66667,101.88199,106.33037,99.04306,86.60838,91.75947,77.34711,85.76779,53.96698,,131.26473,,,,,,,,,,,109.10317,111.99741,111.85486,109.9019,112.94942,111.07413,114.0879,110.19796,110.66826,107.94545,107.32138,105.11397,101.72012,104.53614,110.28369,106.49583,105.87178,100.15092,103.25653,,106.38367,108.37766,,
Bhutan,,,,,,,,,,,,,,,,,,,4.28041,4.85192,,,,,,,,,,,,,,20.03676,24.53894,,,,41.04642,45.78506,47.5205,48.17658,,,,,71.23567,,81.61458,84.7279,93.03721,91.89043,101.00523,98.83981,101.97387,,105.9708,104.40112,,,
Botswana,,,,,,,,,,,44.20317,50.88344,58.22485,,,,,,,79.79729,,93.25972,96.4611,87.65049,87.86371,95.07011,103.82655,104.89557,100.08263,99.13139,101.3846,102.20274,102.60067,101.48873,107.60017,102.89752,104.24871,,102.16781,100.11783,99.26946,102.1232,102.20869,101.90774,100.86824,101.69379,104.98095,100.51712,101.38249,101.89742,,,102.99212,102.38184,,,,,,,
Central African Republic,,,,,,,,,,,,11.04707,12.95792,15.47799,14.50671,17.16602,18.71306,,19.47383,,,18.48127,18.0552,15.81905,,,27.36656,20.09537,21.28013,19.90466,19.68846,20.29978,15.94619,,,,,,,,,,,,17.54551,19.50338,20.21845,,25.99743,28.48298,28.98207,31.53236,33.57922,,,,32.8342,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.06452,96.55122,97.8916,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.59684,93.24717,91.27933,91.33561,91.90546,92.25064,92.84285,94.91263,96.73203,96.25812,95.56732,95.6847,97.25927,96.57568,97.18013,98.49678,97.40351,96.10877,95.46384,94.50662,95.69396,97.11954,97.34693,96.42529,97.07573,96.9564,97.98145,97.89942,100.1258,100.1548,,
Switzerland,,,,,,,,,,,,,,,,,,52.92633,59.64401,57.59915,55.84957,53.0262,52.37346,52.83415,52.29898,50.95599,50.36306,50.2105,49.17475,50.80881,51.71511,54.03436,55.92213,60.71254,61.81707,,73.19424,,,97.26513,98.45278,99.11661,99.68644,100.17792,101.00842,98.35365,95.28515,94.50802,95.42902,97.82582,97.8372,97.89385,98.7757,97.40299,96.35061,97.02373,97.66939,98.73053,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,80.02723,87.74863,92.20131,93.85871,91.89622,92.26433,94.50874,91.18286,,,,,,98.16339,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.82259,98.91621,98.27724,98.89923,96.83778,94.91738,94.13013,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.37236,88.26854,,,,,,,,,91.4194,93.01661,98.78208,97.66328,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,23.23012,23.80002,,31.20166,34.1464,35.7251,37.02488,39.78127,43.64449,,41.46598,40.15944,36.45151,35.57387,36.14303,35.52115,34.539,32.27518,33.80903,31.67627,32.77629,33.55341,32.24406,33.21258,31.06,32.38756,,33.43849,38.97463,,,,,33.17408,36.55606,,37.91008,,47.14712,46.50365,46.73024,48.22646,54.33405,58.38893,64.68261,,,
Cameroon,,,,,,,,,,,,,,38.77144,38.80416,40.89274,42.71331,44.21616,54.01448,45.96244,45.32662,45.78875,45.3859,45.93901,47.51181,48.95168,49.26618,50.92444,49.7204,,54.23119,50.93682,,,,,,,,44.24904,46.06727,,,52.22859,53.38417,,46.73495,49.06391,64.02788,63.81069,65.97015,65.22852,68.93683,,68.33538,70.17029,69.44744,64.69408,61.21668,,
